node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
13870	C384	C38.4 Pleura	13820	3	460	Block C30-C39	Y	Y
13880	C388	C38.8 Overlapping lesion of heart, mediastinum and pleura	13820	3	460	Block C30-C39	Y	Y
13900	C390	C39.0 Upper respiratory tract, part unspecified	13890	3	460	Block C30-C39	Y	Y
13910	C398	C39.8 Overlapping lesion of respiratory and intrathoracic organs	13890	3	460	Block C30-C39	Y	Y
13920	C399	C39.9 Ill-defined sites within the respiratory system	13890	3	460	Block C30-C39	Y	Y
13940	C400	C40.0 Scapula and long bones of upper limb	13930	3	470	Block C40-C41	Y	Y
13950	C401	C40.1 Short bones of upper limb	13930	3	470	Block C40-C41	Y	Y
13960	C402	C40.2 Long bones of lower limb	13930	3	470	Block C40-C41	Y	Y
13970	C403	C40.3 Short bones of lower limb	13930	3	470	Block C40-C41	Y	Y
13980	C408	C40.8 Overlapping lesion of bone and articular cartilage of limbs	13930	3	470	Block C40-C41	Y	Y
13990	C409	C40.9 Bone and articular cartilage of limb, unspecified	13930	3	470	Block C40-C41	Y	Y
14010	C410	C41.0 Bones of skull and face	14000	3	470	Block C40-C41	Y	Y
14020	C411	C41.1 Mandible	14000	3	470	Block C40-C41	Y	Y
14030	C412	C41.2 Vertebral column	14000	3	470	Block C40-C41	Y	Y
14040	C413	C41.3 Ribs, sternum and clavicle	14000	3	470	Block C40-C41	Y	Y
14050	C414	C41.4 Pelvic bones, sacrum and coccyx	14000	3	470	Block C40-C41	Y	Y
14060	C418	C41.8 Overlapping lesion of bone and articular cartilage	14000	3	470	Block C40-C41	Y	Y
14070	C419	C41.9 Bone and articular cartilage, unspecified	14000	3	470	Block C40-C41	Y	Y
14090	C420	C42.0 hematopoietic and reticuloendothelial systems: blood (ICD-O-3 specific)	14080	3	470	Block C40-C41	Y	Y
14100	C421	C42.1 hematopoietic and reticuloendothelial systems: bone marrow (ICD-O-3 specific)	14080	3	470	Block C40-C41	Y	Y
14110	C422	C42.2 hematopoietic and reticuloendothelial systems: spleen (ICD-O-3 specific)	14080	3	470	Block C40-C41	Y	Y
14120	C423	C42.3 hematopoietic and reticuloendothelial systems: Reticuloendothelial system, NOS (ICD-O-3 specific)	14080	3	470	Block C40-C41	Y	Y
14130	C424	C42.4 hematopoietic and reticuloendothelial systems: Hematopoietic system, NOS  (ICD-O-3 specific)	14080	3	470	Block C40-C41	Y	Y
14150	C430	C43.0 Malignant melanoma of lip	14140	3	480	Block C43-C44	Y	Y
14160	C431	C43.1 Malignant melanoma of eyelid, including canthus	14140	3	480	Block C43-C44	Y	Y
14170	C432	C43.2 Malignant melanoma of ear and external auricular canal	14140	3	480	Block C43-C44	Y	Y
14180	C433	C43.3 Malignant melanoma of other and unspecified parts of face	14140	3	480	Block C43-C44	Y	Y
14190	C434	C43.4 Malignant melanoma of scalp and neck	14140	3	480	Block C43-C44	Y	Y
14200	C435	C43.5 Malignant melanoma of trunk	14140	3	480	Block C43-C44	Y	Y
14210	C436	C43.6 Malignant melanoma of upper limb, including shoulder	14140	3	480	Block C43-C44	Y	Y
14220	C437	C43.7 Malignant melanoma of lower limb, including hip	14140	3	480	Block C43-C44	Y	Y
14230	C438	C43.8 Overlapping malignant melanoma of skin	14140	3	480	Block C43-C44	Y	Y
14240	C439	C43.9 Malignant melanoma of skin, unspecified	14140	3	480	Block C43-C44	Y	Y
14260	C440	C44.0 Skin of lip	14250	3	480	Block C43-C44	Y	Y
14270	C441	C44.1 Skin of eyelid, including canthus	14250	3	480	Block C43-C44	Y	Y
14280	C442	C44.2 Skin of ear and external auricular canal	14250	3	480	Block C43-C44	Y	Y
14290	C443	C44.3 Skin of other and unspecified parts of face	14250	3	480	Block C43-C44	Y	Y
14300	C444	C44.4 Skin of scalp and neck	14250	3	480	Block C43-C44	Y	Y
14310	C445	C44.5 Skin of trunk	14250	3	480	Block C43-C44	Y	Y
14320	C446	C44.6 Skin of upper limb, including shoulder	14250	3	480	Block C43-C44	Y	Y
14330	C447	C44.7 Skin of lower limb, including hip	14250	3	480	Block C43-C44	Y	Y
14340	C448	C44.8 Overlapping lesion of skin	14250	3	480	Block C43-C44	Y	Y
