id1,id2,weight
43230,1190,1.0
43230,43170,1.0
43240,1190,1.0
43240,43170,1.0
43250,1190,1.0
43250,43170,1.0
43260,1190,1.0
43260,43170,1.0
43270,1190,1.0
43270,43170,1.0
43280,1190,1.0
43280,90,1.0
43290,1190,1.0
43290,43280,1.0
43300,1190,1.0
43300,43280,1.0
43310,1190,1.0
43310,43280,1.0
43320,1190,1.0
43320,43280,1.0
43330,1190,1.0
43330,90,1.0
43340,1190,1.0
43340,43330,1.0
43350,1190,1.0
43350,43330,1.0
43360,1190,1.0
43360,43330,1.0
43370,1190,1.0
43370,43330,1.0
43380,1190,1.0
43380,43330,1.0
43390,1190,1.0
43390,43330,1.0
43400,1200,1.0
43400,90,1.0
43410,1200,1.0
43410,43400,1.0
43420,1200,1.0
43420,43410,1.0
43430,1200,1.0
43430,43410,1.0
43440,1200,1.0
43440,43400,1.0
43450,1200,1.0
43450,43440,1.0
43460,1200,1.0
43460,43440,1.0
43470,1200,1.0
43470,43400,1.0
43480,1200,1.0
43480,43470,1.0
43490,1200,1.0
43490,43470,1.0
43500,1200,1.0
43500,43400,1.0
43510,1200,1.0
43510,43500,1.0
43520,1200,1.0
43520,43500,1.0
43530,1200,1.0
43530,43400,1.0
43540,1200,1.0
43540,43530,1.0
43550,1200,1.0
43550,43530,1.0
43560,1200,1.0
43560,90,1.0
43570,1200,1.0
43570,43560,1.0
43580,1200,1.0
43580,43560,1.0
43590,1200,1.0
43590,43560,1.0
43600,1200,1.0
43600,43560,1.0
43610,1200,1.0
43610,43560,1.0
43620,1200,1.0
43620,43560,1.0
43630,1200,1.0
43630,43560,1.0
43640,1200,1.0
43640,43560,1.0
43650,1200,1.0
43650,43560,1.0
43660,1200,1.0
43660,90,1.0
43670,1200,1.0
43670,43660,1.0
43680,1200,1.0
43680,43660,1.0
43690,1200,1.0
43690,43660,1.0
43700,1200,1.0
43700,43660,1.0
43710,1200,1.0
43710,43660,1.0
43720,1200,1.0
43720,43660,1.0
43730,1200,1.0
43730,43660,1.0
43740,1200,1.0
43740,43660,1.0
43750,1200,1.0
43750,43660,1.0
43760,1200,1.0
43760,90,1.0
43770,1200,1.0
43770,43760,1.0
43780,1200,1.0
43780,43760,1.0
43790,1200,1.0
43790,43760,1.0
43800,1200,1.0
43800,43760,1.0
43810,1200,1.0
43810,90,1.0
43820,1200,1.0
43820,43810,1.0
43830,1200,1.0
